File '/Users/premalmistry/Desktop/Projects/beyond-code-coverage-ai-vs-human-tests/swift-collections/Sources/BasicContainers/RigidArray/RigidArray+Append.swift':
Name                                                                                                                                          Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$s15BasicContainers10RigidArrayVAARi_zrlE16_appendUncheckedyyxnF                                                                                    1       0 100.00%         4       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6appendyyxnF                                                                                               1       0 100.00%         4       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6appendyyxnFSbyXEfu_                                                                                       1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6appendyyxnFSSyXEfu0_                                                                                      1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE8pushLastyxSgxnF                                                                                           4       0 100.00%         5       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append11addingCount16initializingWithySi_ys10OutputSpanVyxGzqd__YKXEtqd__YKs5ErrorRd__lF                  1       0 100.00%        11       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append11addingCount16initializingWithySi_ys10OutputSpanVyxGzqd__YKXEtqd__YKs5ErrorRd__lFSbyXEfu_          1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append11addingCount16initializingWithySi_ys10OutputSpanVyxGzqd__YKXEtqd__YKs5ErrorRd__lFSSyXEfu0_         1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append11addingCount16initializingWithySi_ys10OutputSpanVyxGzqd__YKXEtqd__YKs5ErrorRd__lFSbyXEfu1_         1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append11addingCount16initializingWithySi_ys10OutputSpanVyxGzqd__YKXEtqd__YKs5ErrorRd__lFSSyXEfu2_         1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE16_appendUnchecked6movingySryxG_tF                                                                         3       0 100.00%         6       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE16_appendUnchecked6movingySryxG_tFSbyXEfu_                                                                 1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingySryxG_tF                                                                                    1       0 100.00%         4       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingySryxG_tFSbyXEfu_                                                                            1       0 100.00%         1       0 100.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingySryxG_tFSSyXEfu0_                                                                           1       1   0.00%         1       1   0.00%         0       0   0.00%
$s15BasicContainers10RigidArrayVAARi_zrlE6append6movingys10OutputSpanVyxGz_tF                                                                       1       0 100.00%         9       0 100.00%         0       0   0.00%
