File '/Users/premalmistry/Desktop/Projects/beyond-code-coverage-ai-vs-human-tests/swift-parsing/Sources/Parsing/Builders/OneOfBuilder.swift':
Name                                                                                                                                                                                Regions    Miss   Cover     Lines    Miss   Cover  Branches    Miss   Cover
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
$s7Parsing12OneOfBuilderO10buildArrayyAA7ParsersO0bC4ManyVy_qd__GSayqd__G5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__lFZ                                                                    1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO10buildBlockAA4FailVyxq_GyFZ                                                                                                                                     1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO10buildBlockyqd__qd__5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__lFZ                                                                                               1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO11buildEither5firstAA7ParsersO11ConditionalOy_qd__qd_0_Gqd___t5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__AaORd_0_AKQyd_0_ALRSAMQyd_0_ANRSr0_lFZ                   1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO11buildEither6secondAA7ParsersO11ConditionalOy_qd__qd_0_Gqd_0__t5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__AaORd_0_AKQyd_0_ALRSAMQyd_0_ANRSr0_lFZ                 1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO15buildExpressionyqd__qd__5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__lFZ                                                                                          1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO7buildIfyAC08OptionalbC0Vyxq__qd__Gqd__Sg5InputQyd__RszAA6ParserRd__lFZ                                                                                          1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO24buildLimitedAvailabilityyAC08OptionalbC0Vyxq__qd__Gqd__Sg5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__lFZ                                                         1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO17buildPartialBlock5firstqd__qd___t5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__lFZ                                                                                 1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO17buildPartialBlock11accumulated4nextAC0B3Of2Vyxq__qd__qd_0_Gqd___qd_0_t5InputQyd__Rsz6OutputQyd__Rs_AA6ParserRd__AaNRd_0_AJQyd_0_AKRSALQyd_0_AMRSr0_lFZ         1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO0B3Of2VyAEyxq__qd__qd_0_Gqd___qd_0_tcfC                                                                                                                          1       0 100.00%         4       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO0B3Of2V5parsey6OutputQyd__5InputQyd__zKF                                                                                                                         5       0 100.00%        13       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO08OptionalbC0V7wrappedAEyxq__qd__Gqd__Sg_tcfC                                                                                                                    1       0 100.00%         3       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO08OptionalbC0V5parsey6OutputQyd__5InputQyd__zKF                                                                                                                  3       0 100.00%         5       0 100.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO0B3Of2VA2A13ParserPrinterRd__AaFRd_0_rlE5print_4intoy6OutputQyd___5InputQyd__ztKF                                                                                9       9   0.00%        13      13   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderO08OptionalbC0VA2A13ParserPrinterRd__rlE5print_4intoy6OutputQyd___5InputQyd__ztKF                                                                                 4       4   0.00%         5       5   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderOAASsRszrlE15buildExpressionyAA4FromVyAA11ConversionsO19SubstringToUTF8ViewVSs0kL0Vqd__Gqd__AA6ParserRd__AL5InputRtd__lFZ                                         1       1   0.00%         5       5   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderOAASsRszrlE15buildExpressionyAA4FromVyAA11ConversionsO19SubstringToUTF8ViewVSs0kL0Vqd__Gqd__AA6ParserRd__AL5InputRtd__lFZqd__yXEfU_                               1       1   0.00%         3       3   0.00%         0       0   0.00%
$s7Parsing12OneOfBuilderOAASs8UTF8ViewVRszrlE15buildExpressionyqd__qd__AA6ParserRd__AE5InputRtd__lFZ                                                                                      1       1   0.00%         3       3   0.00%         0       0   0.00%
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                                                                                                    36      21  41.67%        84      44  47.62%         0       0   0.00%
