experiment,phase,valid_mutants,human_killed,ai_killed,shared_kills,human_only_kills,ai_only_kills,union_killed,human_ms,ai_ms,union_ms,union_gain_over_better_single_suite
E1,exploratory,20,17,19,17,0,2,19,85.0,95.0,95.0,0.0
E2,exploratory,27,19,23,18,1,5,24,70.4,85.2,88.9,3.7
E3,exploratory,28,26,24,24,2,0,26,92.9,85.7,92.9,0.0
E4,exploratory,25,24,22,22,2,0,24,96.0,88.0,96.0,0.0
E5,exploratory,21,21,21,21,0,0,21,100.0,100.0,100.0,0.0
E6,exploratory,22,20,22,20,0,2,22,90.9,100.0,100.0,0.0
E7,exploratory,23,21,23,21,0,2,23,91.3,100.0,100.0,0.0
E8,exploratory,24,22,24,22,0,2,24,91.7,100.0,100.0,0.0
E9,exploratory,26,25,23,23,2,0,25,96.2,88.5,96.2,0.0
E10,exploratory,23,17,22,17,0,5,22,73.9,95.7,95.7,0.0
E11,neutral-selection follow-up,24,10,22,9,1,13,23,41.7,91.7,95.8,4.1
E12,neutral-selection follow-up,22,20,21,20,0,1,21,90.9,95.5,95.5,0.0
E13,neutral-selection follow-up,23,21,23,21,0,2,23,91.3,100.0,100.0,0.0
E14,neutral-selection follow-up,22,15,16,13,2,3,18,68.2,72.7,81.8,9.1
E15,neutral-selection follow-up,24,13,16,8,5,8,21,54.2,66.7,87.5,20.8
